fonds, boite, annee, cotation, date, foliation, dimensions(mm), remarques, date_ISO, material, tipo_documento, genere, page_inventaire, description_inventaire, noms_inventaire, noms, lieux, dechirures(0-3), froissures(0-3), lacunes(0-3), plis(0-3), perte_de_matiere(0-3), perte_de_souplesse(0-1), poussiere(0-3), eclaircissement(0-3), taches(0-3), degradation_due_a_encre(0-3), humidite(0-3), moissisure(0-3), traces_insecte(0-3), risque(1-5), cartella_foto
dc.relation.ispartof, dc.relation.ispartof, dc.relation.ispartof, dc.identifier, dc.date.created, dc.format.extent, dc.format.extent, dc.description, dc.date, dc.format.medium, dc.type, dc.type, dc.relation.isReferencedBy, dc.description.abstract.legacy, dc.subject.legacy, dc.subject, dc.coverage, dc.description.condition.[tears], dc.description.condition.[wrinkles], dc.description.condition.[lacunae], dc.description.condition.[creases_(condition)], dc.description.condition.[crumbling], dc.description.condition.[stiffness], dc.description.condition.[dust], dc.description.condition.[fading], dc.description.condition.[stains_(damage)], dc.description.condition.[ferrogallic_process], dc.description.condition.[water_damage], dc.description.condition.[mold_(condition)], dc.description.condition.[insect_damage], dc.description.condition.risk_index, dc.identifier.uri
Ms4300, 40, 1657-1658, Ms4300/40/1, 1657 3 janvr, 4, 258 x 182, null, 1657-01-03, papier, manuscrit, atto notarile, 336, Dénonciation d'hypotheques par M.me d'Affis contre du Mas pour  [...] de l'acquisition qu'elle a fait des rentes de la maison noble de Lansac, d'Affis | [...] (maison de Lansac), """Daffis, Jean | Lafoy, Pierre | Daffis, Jean | Massiot, Anne de | Mar, du | Marer, François | Hiriart, Jean de | Cremer, (notaire)""", null, 0, 2, 0, 2, 1, 0, 2, 0, 1, 3, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/2, 1657 5 janvier, 2, 305 x 196, null, 1657-01-05, papier, manuscrit, atto notarile, null, null, null, null, null, 1, 2, 2, 3, 2, 0, 2, 2, 3, 1, 2, 2, 1, , 
Ms4300, 40, 1657-1658, Ms4300/40/3, 1657 janv 9, 2, 255 x 181, null, 1657-01-09, papier, manuscrit, ricevuta, 336, Qittance par un sergent royal a la pres.te d'Affis, d'affis, """Daffis, m.me""", null, 0, 2, 0, 2, 1, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/4, 1657 2 fevr, 4, 309 x 192, null, 1657-02-02, papier, manuscrit, resoconto, 336, Extrait des payements fait a M.e Le Comte par les fermiers en l'Ile d'Olerôn, Olerôn | Le Comte, """Comte, Le""", Île d'Olerôn, 1, 2, 0, 2, 1, 0, 1, 0, 2, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/5, 1657 9 fevr, 4, 247 x 184, pages siglé, 1657-02-09, papier, manuscrit, atto notarile, 336, [...] en faveur de Jacques Le comte de [...] a La Tresne, Le comte | La Tresne, """Ferran, (notaire) | Le Comte, Jacques""", Bordeaux, 1, 1, 1, 2, 1, 0, 1, 0, 2, 3, 0, 0, 1, , 
Ms4300, 40, 1657-1658, Ms4300/40/6, 1657 19 fev, 1, 240 x 187, null, 1657-02-19, papier, manuscrit, inventario, 336, Inventaires de pièces pour le procès entre M.r Le Comte et Germain du Pèries a propos de la maison noble de Larsan, du Péries | Larsan | Le comte, """Le Comte, Jacques""", null, 1, 3, 0, 2, 2, 0, 1, 0, 0, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/7, 1657 22 fevr, 1, 100 x 289, null, 1657-02-22, parchemin, manuscrit, exploit, null, null, null, null, null, 0, 3, 1, 3, 0, 1, 0, 2, 3, 0, 2, 1, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/8, 1657 1^r mars, 1, 252 x 183, null, 1657-03-01, papier, manuscrit, supplie, 336, Requête de Jean Le Comte contre le fermiers du domain à propos des poursuites qu'il fout contre Joseph de Géres, de Géres |Le Comte, """Le Comte, Jean""", null, 0, 1, 0, 2, 0, 0, 1, 0, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/1, 1657 2 mars, 6, 251 x 183,  Cordelette rose et blanche, 1657-03-02, papier, manuscrit, memoire de payements, 336, """Pièces d'un procès entre Bernard de Sauvage et M.r de Pontac, a propos d'une maison à Miòs""", Sauvage | Miòs | de Pontac, """Sauvage, Bernard de la Mothe | Pontac, Arnaud de | Valz, de (notaire)""", null, 0, 2, 1, 2, 0, 0, 0, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/2, vers 1657, 4, 254 x 181, Cordelette rose et blanche, 1657, papier, manuscrit, memoire de payements, null, null, null, """Sauvage, Bernard de La Mothe | Pontac, Arnaud de""", null, 0, 1, 1, 2, 0, 0, 1, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/3, XVIIeme siècle, 1, 247 x 188,  Cordelette rose et blanche, 1600/1699, papier, manuscrit, supplie, null, null, null, """Sauvage, Bernard de La Mothe | Pontac, Arnaud de""", null, 0, 1, 1, 2, 0, 0, 0, 0, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/4, XVIIeme siècle, 1, 249 x 176, Cordelette rose et blanche, 1600/1699, papier, manuscrit, supplie, null, null, null, """Sauvage, Bernard de La Mothe | Pontac, Arnaud de""", null, 0, 2, 1, 2, 1, 0, 1, 0, 3, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/5, XVIIeme siècle, 1, 286 x 261,  Cordelette rose et blanche, 1600/1699, papier, manuscrit, memoire de payements, null, null, null, """Sauvage, Bernard de La Mothe | Pontac, Arnaud de""", null, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/6, XVIIeme siècle, 1, 126 x 184,  Cordelette rose et blanche , 1600/1699, papier, manuscrit, memoire de payements, null, null, null, """Sauvage, Bernard de La Mothe""", null, 0, 1, 1, 2, 1, 0, 0, 0, 0, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/7, XVIIeme siècle, 1, 242 x 177,  Cordelette rose et blanche, 1600/1699, papier, manuscrit, memoire de payements, null, null, null, """Sauvage, Bernard de La Mothe""", null, 3, 1, 3, 2, 3, 0, 0, 0, 2, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/9/8, 1643, 1, 250 x 188,  Cordelette rose et blanche , 1643, papier, manuscrit, memoire de payements, null, null, null, """Sauvage, Bernard de La Mothe""", null, 2, 1, 1, 2, 0, 0, 0, 0, 2, 1, 1, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/1, 1657 3 mars, 1, 255 x 172, Cordelette rose et blanche, 1657-03-03, papier, manuscrit, exploit, 336, """Assignation donné a la requête de Jacques Le Comte, à M.r de Gères, pour [...] certains titres""", de Géres |Le Comte, """Le Comte, Jacques""", null, 0, 1, 2, 3, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/2, 1657 17 mars, 2, 242 x 172,  Cordelette rose et blanche , 1657-03-17, papier, manuscrit, atto notarile, null, null, null, """Acombe, d' (notaire)""", Bordeaux, 0, 1, 1, 2, 1, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/3, 1657 17 mars, 1, 242 x 172, Cordelette rose et blanche, 1657-03-17, papier, manuscrit, null, null, null, null, null, null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 2, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/4, 1657 11 avril, 1, 253 x 184,  Cordelette rose et blanche, 1657-04-11, papier, manuscrit, supplie, null, null, null, """Le Comte, Jacques | Acombe, d' (notaire) | Salis, de (notaire)""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 0, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/5, 1657 12 avril, 1, 253 x 184,  Cordelette rose et blanche , 1657-04-12, papier, manuscrit, supplie, null, null, null, """Le Comte, Jacques | Acombe, d' (notaire) | Salis, de (notaire)""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/10/6, 1657 16 avril, 1, 255 x 184,  Cordelette rose et blanche , 1657-04-16, papier, manuscrit, supplie, null, null, null, """Le Comte, Jacques | Acombe, d' (notaire) | Salis, de (notaire)""", null, 0, 1, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/11, 1657 mars 3, 2, 257 x 176, null, 1657-03-03, papier, manuscrit, atto notarile, 336, Assignation donné à la requête de Jacques Le Comte à La Ferrière pour venir [...], La Ferrière | Le Comte, """Le Comte, Jacques""", null, 3, 1, 2, 2, 0, 0, 2, 0, 1, 2, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/12, 1657 4 mars, 1, 135 x 200, tache, 1657-03-04, papier, manuscrit, atto notarile, 336, Procuration par Margueritte de Ferron [...] M.r de Pontac pour reprendre un procès contre Arthur Le Comte, Le Comte |de Ferron | de Pontac, """Ferron de Carbonnieux, Margueritte de | Pontac, Gabriel de | Bousquillon""", null, 2, 2, 1, 0, 1, 0, 1, 0, 1, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/1, 1657 4 mars, 1, 143 x 151, Cordelette rose, 1657-03-04, papier, manuscrit, atto notarile, null, null, null, """Pontac, Gabriel de""", null, 1, 2, 1, 1, 0, 0, 0, 0, 2, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/2, 1657 8 mars, 1, 185 x 177, Cordelette rose, 1657-03-08, papier, manuscrit, null, null, null, null, null, null, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/3, 1657 4 avril, 2, 244 x 172, Cordelette rose, 1657-04-04, papier, manuscrit, atto notarile, null, null, null, """Mothe, Anyne de la | Ferron de Carbonnieux, d. de""", null, 0, 2, 1, 2, 0, 0, 1, 1, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/4, 1657 12 mai, 2, 240 x 171,  Cordelette rose , 1657-05-12, parchemin, manuscrit, atto notarile, null, null, null, """Pontac, Gabriel de | Ferron de Carbonnieux, d. de | Bousquillon""", null, 1, 2, 1, 2, 0, 0, 1, 0, 2, 1, 2, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/5, 1657 6 juin, 1, 274 x 175,  Cordelette rose , 1657-06-06, papier, manuscrit, supplie, null, null, null, """Pontac, Gabriel de | Ferron de Carbonnieux, d. de | Bousquillon,""", null, 0, 2, 1, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, , 
Ms4300, 40, 1657-1658, Ms4300/40/13/6, 1657 8 juin, 2, 245 x 181, Cordelette rose, 1657-06-08, papier, manuscrit, atto notarile, null, null, null, """Mothe, Anyne de la | Ferron de Carbonnieux, d. de | Pontac, Gabriel de""", null, 0, 1, 1, 2, 1, 0, 1, 0, 1, 1, 0, 0, 0, , 
