Fonds ITIE - 4300;Boåte;Dossier;Pochette;Sous-pochette;Nombre d'UM;Cotation des UM;Dates des UM;Cahiers;Foliation;"Dimensions 
(mm)";Remarques;DÇchirures (strappi) (0-3);Froissures (spiegazzato) (0-3);Lacunes (0-3);Plis (0-3);Perte de souplesse (0-3);Perte de matiäre (0-3);Poussiäre deposÇ (0-3);Affaiblessement (0-3);Foxing (0-3);Jaunissement (0-3);Taches (0-3);Degradation due Ö l'encre (0-3);Mouillure (umiditÖ) (0-3);Moisissure (0-3);Trou d'insect (0-3);Risque (1-5);Photo?
;4300/40       1657 Ö  1558;;1655-1656;;;Ms 4300/40/1;1657 3 janv;;4;258 x 182;;0;2;0;2;0;1;2;0;0;1;1;3;0;0;0;;
;;;;;;Ms 4300/40/2;1657 5 janv;;2;305 x 196;Taches sombres;1;2;2;3;0;2;2;1;0;1;3;1;2;2;1;;
;;;;;;Ms 4300/40/3;1657 9 janv;;2;255 x 181;;0;2;0;2;0;1;1;0;0;1;1;2;0;0;0;;
;;;;;;Ms 4300/40/4;1657 2 fevr;;4;309 x 192;;1;2;0;2;0;1;1;0;0;1;2;2;0;0;0;;
;;;;;;Ms 4300/40/5;1657 9 fevr;;4;247 x 184;;1;1;1;2;0;1;1;0;0;1;2;3;0;0;1;;
;;;;;;Ms 4300/40/6;1657 19 fevr;;1;24 x 187;;1;3;0;2;0;2;1;0;0;1;0;1;1;0;0;;
;;;;;;Ms 4300/40/7;1657 22 fevr;;1;10 x 289;"Taches ; plis";0;3;1;3;2;0;0;2;0;3;3;0;2;1;0;;
;;;;;;Ms 4300/40/8;1657 1er mars;;1;252 x 183;Taches;0;1;0;2;0;0;1;0;0;1;2;1;1;0;0;;
;;;;;;Ms 4300/40/9/1;1657 2 mars;;6;251 x 183;Cordelette rose et blanche;0;2;1;2;1;0;0;0;0;1;1;2;0;0;0;;
;;;;;;Ms 4300/40/9/2;vers 1657;;4;254 x 181;Cordelette rose et blanche;0;1;1;2;0;0;1;0;0;1;2;1;0;0;0;;
;;;;;;Ms 4300/40/9/3;XVIIeme siäcle;;1;247 x 188;Cordelette rose et blanche;0;1;1;2;0;0;0;0;0;1;1;1;2;0;0;;
;;;;;;Ms 4300/40/9/4;XVIIeme siäcle;;1;249 x 176;"Cordelette rose et blanche ; tache";0;2;1;2;0;1;1;0;0;1;3;1;2;0;0;;
;;;;;;Ms 4300/40/9/5;XVIIeme siäcle;;1;286 x 261;Cordelette rose et blanche;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;;
;;;;;;Ms 4300/40/9/6;XVIIeme siäcle;;1;126 x 184;Cordelette rose et blanche;0;1;1;2;0;1;0;0;0;0;0;2;0;0;0;;
