;4300/40       1657 Ö  1558;;1655-1656;;;Ms 4300/40/1;1657 3 janv;;4;25,8 x 18,2;;0;2;0;2;0;1;2;0;0;1;1;3;0;0;0;
;;;;;;Ms 4300/40/2;1657 5 janv;;2;30,5 x 19,6;Taches sombres;1;2;2;3;0;2;2;1;0;1;3;1;2;2;1;
;;;;;;Ms 4300/40/3;1657 9 janv;;2;25,5 x 18,1;;0;2;0;2;0;1;1;0;0;1;1;2;0;0;0;
;;;;;;Ms 4300/40/4;1657 2 fevr;;4;30,9 x 19,2;;1;2;0;2;0;1;1;0;0;1;2;2;0;0;0;
;;;;;;Ms 4300/40/5;1657 9 fevr;;4;24,7 x 18,4;;1;1;1;2;0;1;1;0;0;1;2;3;0;0;1;
;;;;;;Ms 4300/40/6;1657 19 fevr;;1;24 x 18,7;;1;3;0;2;0;2;1;0;0;1;0;1;1;0;0;
;;;;;;Ms 4300/40/7;1657 22 fevr;;1;10 x 28,9;"Taches ; plis";0;3;1;3;2;0;0;2;0;3;3;0;2;1;0;
;;;;;;Ms 4300/40/8;1657 1er mars;;1;25,2 x 18,3;Taches;0;1;0;2;0;0;1;0;0;1;2;1;1;0;0;
;;;;;;Ms 4300/40/9/1;1657 2 mars;;6;25,1 x 18,3;Cordelette rose et blanche;0;2;1;2;1;0;0;0;0;1;1;2;0;0;0;
;;;;;;Ms 4300/40/9/2;vers 1657;;4;25,4 x 18,1;Cordelette rose et blanche;0;1;1;2;0;0;1;0;0;1;2;1;0;0;0;
;;;;;;Ms 4300/40/9/3;XVIIeme siäcle;;1;24,7 x 18,8;Cordelette rose et blanche;0;1;1;2;0;0;0;0;0;1;1;1;2;0;0;
;;;;;;Ms 4300/40/9/4;XVIIeme siäcle;;1;24,9 x 17,6;"Cordelette rose et blanche ; tache";0;2;1;2;0;1;1;0;0;1;3;1;2;0;0;
;;;;;;Ms 4300/40/9/5;XVIIeme siäcle;;1;28,6 x 26,1;Cordelette rose et blanche;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;
;;;;;;Ms 4300/40/9/6;XVIIeme siäcle;;1;12,6 x 18,4;Cordelette rose et blanche;0;1;1;2;0;1;0;0;0;0;0;2;0;0;0;
;;;;;;Ms 4300/40/9/7;XVIIeme siäcle;;1;24,2 x 17,7;"Cordelette rose et blanche ; lacune en bas de page";3;1;3;2;0;3;0;0;0;1;2;1;2;0;0;
;;;;;;Ms 4300/40/9/8;1643;;1;25 x 18,8;Cordelette rose et blanche;2;1;1;2;0;0;0;0;0;0;2;1;1;0;0;
;;;;;;Ms 4300/40/10/1;1657 3 mars;;1;25,5 x 17,2;Cordelette rose et blanche;0;1;2;3;1;0;1;0;0;1;1;2;0;0;0;
